Cod_comuna_x;NOM_COMUNA;Cod_barrio;NOM_BARRIO;Grupo;BARRIO_AT;personas
1;01. NORTE;356;BAVARIA;A;NO;509
1;01. NORTE;356;BAVARIA;B;NO;1227
1;01. NORTE;356;BAVARIA;C;NO;907
1;01. NORTE;356;BAVARIA;D;NO;94
1;01. NORTE;357;CAFE MADRID CORRALES;A;NO;5
1;01. NORTE;357;CAFE MADRID CORRALES;B;NO;15
1;01. NORTE;357;CAFE MADRID CORRALES;C;NO;29
1;01. NORTE;359;GETSEMANI;A;NO;124
1;01. NORTE;359;GETSEMANI;B;NO;215
1;01. NORTE;359;GETSEMANI;C;NO;133
1;01. NORTE;359;GETSEMANI;D;NO;13
1;01. NORTE;366;LOS CEDROS NORTE;A;NO;14
1;01. NORTE;366;LOS CEDROS NORTE;B;NO;26
1;01. NORTE;366;LOS CEDROS NORTE;C;NO;27
1;01. NORTE;366;LOS CEDROS NORTE;D;NO;11
1;01. NORTE;370;CAMPO MADRID;A;SI;673
1;01. NORTE;370;CAMPO MADRID;B;SI;1918
1;01. NORTE;370;CAMPO MADRID;C;SI;1317
1;01. NORTE;370;CAMPO MADRID;D;SI;128
2;02. NORORIENTAL;44;VILLA HELENA I Y II;A;SI;587
2;02. NORORIENTAL;44;VILLA HELENA I Y II;B;SI;1075
2;02. NORORIENTAL;44;VILLA HELENA I Y II;C;SI;704
2;02. NORORIENTAL;44;VILLA HELENA I Y II;D;SI;78
2;02. NORORIENTAL;45;LOS ANGELES;A;SI;147
2;02. NORORIENTAL;45;LOS ANGELES;B;SI;463
2;02. NORORIENTAL;45;LOS ANGELES;C;SI;363
2;02. NORORIENTAL;45;LOS ANGELES;D;SI;54
2;02. NORORIENTAL;51;LIZCANO I Y II;A;SI;85
2;02. NORORIENTAL;51;LIZCANO I Y II;B;SI;287
2;02. NORORIENTAL;51;LIZCANO I Y II;C;SI;217
2;02. NORORIENTAL;51;LIZCANO I Y II;D;SI;20
