Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_vereda;NOM_VEREDA;Cod_barrio;NOM_BARRIO;tip_empleado;Count of documento
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;41;BALCONES DEL KENNEDY;10;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;41;BALCONES DEL KENNEDY;99;749
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;42;VILLA MARÍA;1;23
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;42;VILLA MARÍA;2;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;42;VILLA MARÍA;3;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;42;VILLA MARÍA;5;88
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;42;VILLA MARÍA;8;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;42;VILLA MARÍA;99;255
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;43;ASENTAMIENTO VILLA MARÍA;5;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;43;ASENTAMIENTO VILLA MARÍA;99;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;45;LOS ÁNGELES;1;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;45;LOS ÁNGELES;99;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;1;115
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;2;7
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;3;11
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;4;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;5;190
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;6;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;7;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;8;11
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;10;8
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;47;OLAS ALTAS Y BAJAS;99;714
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;49;PAISAJES DEL NORTE;1;75
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;49;PAISAJES DEL NORTE;2;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;49;PAISAJES DEL NORTE;3;19
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;49;PAISAJES DEL NORTE;5;140
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;49;PAISAJES DEL NORTE;7;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;49;PAISAJES DEL NORTE;10;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;49;PAISAJES DEL NORTE;99;477
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;50;VILLA ROSA;1;636
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;50;VILLA ROSA;2;19
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;50;VILLA ROSA;3;79
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;50;VILLA ROSA;4;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;50;VILLA ROSA;5;994
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;50;VILLA ROSA;6;13
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;50;VILLA ROSA;7;6
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;50;VILLA ROSA;8;30
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;50;VILLA ROSA;9;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;50;VILLA ROSA;10;10
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;50;VILLA ROSA;99;3824
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;54;MIRADOR NORTE;99;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;55;CLAVERIANO;1;85
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;55;CLAVERIANO;2;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;55;CLAVERIANO;3;15
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;55;CLAVERIANO;4;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;55;CLAVERIANO;5;231
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;55;CLAVERIANO;6;7
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;55;CLAVERIANO;7;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;55;CLAVERIANO;8;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;55;CLAVERIANO;99;1031
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;56;ALTOS DEL PROGRESO;1;109
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;56;ALTOS DEL PROGRESO;3;23
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;56;ALTOS DEL PROGRESO;4;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;56;ALTOS DEL PROGRESO;5;195
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;56;ALTOS DEL PROGRESO;6;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;56;ALTOS DEL PROGRESO;8;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;56;ALTOS DEL PROGRESO;10;2
