Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_vereda;NOM_VEREDA;Cod_barrio;NOM_BARRIO;ind_discap_ninguna;personas
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;95;COMUNEROS;1;4194
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;95;COMUNEROS;2;457
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;96;MODELO;1;654
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;96;MODELO;2;74
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;97;MUTUALIDAD;1;1127
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;97;MUTUALIDAD;2;125
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;98;SAN FRANCISCO;1;1840
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;98;SAN FRANCISCO;2;215
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;99;ALARCÓN;1;204
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;99;ALARCÓN;2;21
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;100;SAN ALONSO;1;11
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;100;SAN ALONSO;2;2
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;101;UNIVERSIDAD;1;117
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;101;UNIVERSIDAD;2;13
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;113;PUERTO RICO;1;142
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;113;PUERTO RICO;2;10
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;130;CENTRO;1;4
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;131;ANTONIA SANTOS CENTRO;1;5
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;195;PABLO VI;1;41
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;195;PABLO VI;2;10
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;218;SAN EXPEDITO;1;5
3;0;SIN CORREGIMIENTO;0;SIN VEREDA;305;SAN VALENTÍN;1;1
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;0;BARRIO_S4;1;2
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;2
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NIÑO NORTE;1;6
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFÉ MADRID;1;2
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;16;GALLINERAL;1;431
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;16;GALLINERAL;2;17
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;18;5 DE ENERO;1;360
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;18;5 DE ENERO;2;31
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;20;CARLOS PIZARRO;1;133
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;20;CARLOS PIZARRO;2;4
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;22;JOSE ANTONIO GALÁN;1;1565
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;22;JOSE ANTONIO GALÁN;2;106
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;35;MINUTO DE DIOS;1;1
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;46;JOSE MARÍA CÓRDOBA;1;1
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;73;CINAL I II Y III;1;472
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;73;CINAL I II Y III;2;70
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;74;NORTE BAJO;1;21
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;74;NORTE BAJO;2;5
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;75;SAN RAFAEL;1;3
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;75;SAN RAFAEL;2;1
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;77;GAITÁN;1;3391
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;77;GAITÁN;2;334
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;78;GRANADA;1;671
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;78;GRANADA;2;56
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;79;LA FERIA;1;572
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;79;LA FERIA;2;86
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;80;NAPOLES;1;821
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;80;NAPOLES;2;82
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;82;GIRARDOT;1;4729
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;82;GIRARDOT;2;461
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;83;ZARABANDA;1;473
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;83;ZARABANDA;2;24
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;84;CUYANITA;1;674
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;84;CUYANITA;2;50
4;0;SIN CORREGIMIENTO;0;SIN VEREDA;85;CAMILO TORRES;1;625
