Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_vereda;NOM_VEREDA;Cod_barrio;NOM_BARRIO;Grupo;personas
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;328;CAMPESTRE NORTE ;C;704
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;328;CAMPESTRE NORTE ;D;57
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;332;BONANZA CAMPESTRE;A;115
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;332;BONANZA CAMPESTRE;B;276
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;332;BONANZA CAMPESTRE;C;101
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;332;BONANZA CAMPESTRE;D;10
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;335;PUENTE NARI•O;A;466
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;335;PUENTE NARI•O;B;492
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;335;PUENTE NARI•O;C;78
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;335;PUENTE NARI•O;D;7
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;338;CAFE MADRID LA SEXTA;A;18
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;338;CAFE MADRID LA SEXTA;B;51
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;338;CAFE MADRID LA SEXTA;C;28
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;338;CAFE MADRID LA SEXTA;D;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;342;VILLAS DE SAN IGNACIO;A;155
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;342;VILLAS DE SAN IGNACIO;B;347
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;342;VILLAS DE SAN IGNACIO;C;224
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;342;VILLAS DE SAN IGNACIO;D;31
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;346;JARDINES DE ALTAGRACIA;A;7
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;346;JARDINES DE ALTAGRACIA;B;42
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;346;JARDINES DE ALTAGRACIA;C;69
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;346;JARDINES DE ALTAGRACIA;D;18
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;348;PORTAL DE LOS µNGELES;A;99
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;348;PORTAL DE LOS µNGELES;B;312
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;348;PORTAL DE LOS µNGELES;C;258
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;348;PORTAL DE LOS µNGELES;D;33
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;350;BETANIA ;A;456
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;350;BETANIA ;B;1430
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;350;BETANIA ;C;1171
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;350;BETANIA ;D;92
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;350;BETANIA ;(blank);5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;351;CAFê MADRID LA ESTACI‡N;A;148
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;351;CAFê MADRID LA ESTACI‡N;B;372
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;351;CAFê MADRID LA ESTACI‡N;C;275
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;351;CAFê MADRID LA ESTACI‡N;D;34
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;354;MIRADOR DE COLORADOS;A;22
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;354;MIRADOR DE COLORADOS;B;58
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;354;MIRADOR DE COLORADOS;C;79
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;354;MIRADOR DE COLORADOS;D;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;356;BAVARIA;A;509
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;356;BAVARIA;B;1227
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;356;BAVARIA;C;907
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;356;BAVARIA;D;94
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;357;CAFê MADRID CORRALES;A;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;357;CAFê MADRID CORRALES;B;15
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;357;CAFê MADRID CORRALES;C;29
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;359;GETSEMANI;A;124
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;359;GETSEMANI;B;215
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;359;GETSEMANI;C;133
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;359;GETSEMANI;D;13
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;361;VILLAS DEL NOGAL;A;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;366;LOS CEDROS NORTE;A;14
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;366;LOS CEDROS NORTE;B;26
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;366;LOS CEDROS NORTE;C;27
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;366;LOS CEDROS NORTE;D;11
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;370;CAMPO MADRID;A;673
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;370;CAMPO MADRID;B;1918
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;370;CAMPO MADRID;C;1317
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;370;CAMPO MADRID;D;128
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;0;BARRIO_S4;A;126
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;0;BARRIO_S4;B;270
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;0;BARRIO_S4;C;93
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;0;BARRIO_S4;D;3
2;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;B;2
